age,nationality,fee_structure,loyalty_classification,estimated_income,superannuation_savings,amount_of_credit_cards,credit_card_balance,bank_loans,bank_deposits,checking_accounts,saving_accounts,foreign_currency_account,business_lending,properties_owned,risk_weighting,brid,genderid,tenure_year,total_assets,total_liabilities,net_worth,debt_to_income
22,Asian,Low,Jade,57955.11,14284.58,1,2026.86,569742.42,1100932.88,260961.87,682089.08,33544.56,230177.46,3,1,3,1,2013,2091812.9700000002,801946.74,1289866.2300000002,13.83737758413365
77,American,Mid,Silver,210595.73,28588.56,1,8276.84,784128.83,2080505.71,703269.54,396175.17,30445.03,299258.01,1,4,3,2,2001,3238984.01,1091663.68,2147320.33,5.183693325595917
73,Asian,High,Jade,439388.92,46346.7,1,855.65,1428253.22,1051950.53,400198.57,624309.77,21641.11,1061775.4,1,5,4,2,2016,2144446.68,2490884.2699999996,-346437.5899999994,5.6689737875047
65,European,Mid,Jade,130987.36,41223.7,1,4484.26,529607.93,589706.09,631234.69,101662.01,49008.52,544902.07,2,5,4,1,2018,1412835.0099999998,1078994.26,333840.74999999977,8.237392218607964
78,Asian,Low,Jade,169936.36,7795.8,1,3232.52,994804.79,638808.87,453108.61,301280.09,41118.41,434504.79,2,2,1,1,2008,1442111.78,1432542.1,9569.679999999935,8.429873983413557
81,Asian,High,Silver,440439.33,36666.96,1,3399.18,1250526.42,1169638.99,406295.65,775409.09,53226.45,211540.6,2,4,2,1,2003,2441237.14,1465466.2,975770.9400000002,3.327282783760478
46,European,High,Silver,407606.87,31157.8,1,4901.79,994316.57,302004.93,274549.94,166560.29,49432.85,914353.65,1,4,3,2,2000,823705.81,1913572.01,-1089866.2,4.694651024895631
71,American,Mid,Silver,116733.05,45004.7,2,7012.68,1369673.32,418166.68,226802.27,127576.28,34458.24,401783.75,1,2,4,1,2002,852008.1699999999,1778469.75,-926461.5800000001,15.235357510148154
26,European,High,Jade,67276.78,38611.96,1,1563.05,529250.59,135237.78,88680.51,87793.71,29212.0,614445.39,2,2,1,1,2013,379535.96,1145259.03,-765723.0700000001,17.02309518975195
79,Asian,Low,Silver,227427.3,24462.81,2,264.77,915680.57,96740.84,55088.54,41222.35,41414.78,418918.39,0,3,1,2,2017,258929.32,1334863.73,-1075934.41,5.869408509884257
56,Asian,High,Silver,51486.64,3271.8,1,649.25,772340.31,412699.06,114638.63,210771.31,17877.91,232139.96,1,1,1,1,2013,759258.7100000001,1005129.52,-245870.80999999994,19.52214244316584
45,Asian,High,Jade,145733.44,42675.0,2,6157.46,1213139.81,801883.53,328390.4,326481.15,12662.21,1490464.24,1,3,2,1,2018,1512092.29,2709761.51,-1197669.2199999997,18.593958325556574
41,American,Low,Silver,91981.56,8266.7,2,54.42,0.0,202898.0,130434.43,153043.07,11058.87,302676.56,1,1,2,2,2020,505701.07,302730.98,202970.09000000003,3.291213804158138
39,European,High,Jade,221101.24,42077.04,2,9935.62,1179223.36,137423.97,25767.0,75153.74,1963.84,1599843.07,3,2,3,1,2021,282385.59,2789002.0500000003,-2506616.4600000004,12.614140246341451
51,Australian,High,Silver,56751.75,44945.22,1,5764.83,916908.53,118377.03,76596.9,39853.6,63313.14,1774345.25,0,2,3,1,2003,343085.89,2697018.61,-2353932.7199999997,47.52309153462228
43,European,Low,Silver,217040.02,46771.27,1,558.29,232807.12,281401.58,151956.85,451930.93,28197.72,996154.25,0,4,3,1,2019,960258.3500000001,1229519.66,-269261.3099999998,5.664944465080679
42,European,High,Jade,346305.7,22081.79,1,732.08,1568709.34,1118447.01,634170.99,586319.9,492.08,1784867.57,3,4,3,2,2000,2361511.77,3354308.99,-992797.2200000002,9.685976840693064
61,European,Mid,Gold,81243.91,13675.96,1,3895.87,766963.09,444257.95,390080.15,148663.88,34909.79,656503.02,0,2,3,1,2020,1031587.7300000001,1427361.98,-395774.2499999999,17.568848914337085
58,European,High,Platinum,184460.64,5971.84,2,3397.78,1177332.92,77019.89,31271.23,31433.38,47875.74,1890384.33,2,2,3,2,2018,193572.08,3071115.0300000003,-2877542.95,16.649161739870358
25,Asian,Mid,Gold,91923.17,1662.84,1,3999.36,328211.76,563246.33,190285.92,207411.66,8284.09,208974.22,2,1,3,2,2015,970890.84,541185.34,429705.5,5.887365938315661
38,American,Mid,Jade,342649.03,54620.02,1,1371.63,2012623.19,2603230.63,886206.17,547232.31,56366.58,1928415.9,0,4,4,2,2009,4147655.71,3942410.7199999997,205244.99000000022,11.50568183426639
60,Australian,High,Gold,153118.31,7345.65,1,386.7,476536.81,31217.84,20811.89,21988.22,10093.4,375326.96,2,1,4,1,2020,91456.99999999999,852250.47,-760793.47,5.56596053078172
45,European,High,Jade,124830.45,17836.56,1,843.7,66111.39,357447.81,213315.63,319627.53,25951.12,853225.95,0,2,3,2,2018,934178.65,920181.0399999999,13997.610000000102,7.371446950643853
55,European,Low,Jade,80104.87,31921.26,1,7.5,215709.9,38471.76,64119.59,8825.87,14874.69,465264.25,0,1,1,2,2005,158213.17,680981.65,-522768.48,8.501126710523344
62,Asian,Mid,Gold,95522.36,25063.35,1,1245.56,270996.64,171005.23,158050.29,79828.35,11632.42,660230.49,3,1,2,2,2002,445579.63999999996,932472.69,-486893.05,9.761826340973988
80,American,High,Jade,35717.95,25180.61,1,4212.42,0.0,561513.29,197455.22,427984.19,29525.71,914946.67,2,2,3,2,2007,1241659.02,919159.0900000001,322499.92999999993,25.733814230659938
78,European,High,Jade,209541.0,20205.12,1,988.85,69727.06,349744.28,394711.4,72397.07,3322.37,503201.66,0,2,4,2,2015,840380.24,573917.57,266462.67000000004,2.7389273220992547
43,European,Mid,Jade,229059.97,35876.79,1,10358.07,664298.72,2093007.37,582862.81,801171.43,47743.3,1631733.39,3,4,1,2,2019,3560661.7,2306390.1799999997,1254271.5200000005,10.068936008330045
61,African,High,Jade,116813.48,35734.4,1,8294.26,1512494.37,455464.41,233971.44,66291.91,10038.52,1088475.48,1,2,1,2,2002,801500.68,2609264.1100000003,-1807763.4300000002,22.337012046897332
72,Asian,High,Gold,255097.36,45422.37,2,1845.77,841410.8,98999.73,27789.4,68500.87,33799.21,1198593.93,2,2,1,2,2018,274511.58,2041850.5,-1767338.92,8.004200827480144
81,European,Low,Silver,130296.27,7269.84,3,746.46,805317.55,581539.75,143148.25,292022.42,37479.78,856988.5,0,1,2,2,2009,1061460.04,1663052.51,-601592.47,12.76362331784325
49,American,High,Gold,65006.54,43491.8,1,3575.55,346892.24,262181.5,127118.3,172880.89,34090.78,96305.35,2,2,2,2,2020,639763.27,446773.14,192990.13,6.8727414195556324
83,European,High,Gold,152311.98,14530.06,1,2509.62,342021.0,244910.01,109895.52,253073.68,26021.55,753600.85,1,1,3,2,2020,648430.8200000001,1098131.47,-449700.6499999999,7.209751130541405
40,European,High,Jade,185421.5,32352.0,1,1106.13,259398.71,92897.5,50830.7,84624.36,4548.42,586872.31,1,2,3,2,2020,265252.98,847377.15,-582124.17,4.570004826840469
25,Asian,Mid,Jade,54339.87,23045.2,3,2819.83,870569.31,982426.14,438956.36,311937.72,28292.75,282071.77,2,1,3,2,2006,1784658.17,1155460.9100000001,629197.2599999998,21.263593563989023
60,European,Mid,Platinum,229493.03,64475.19,2,689.6,1959490.83,892214.75,465788.58,108443.45,34932.84,1313564.36,2,3,3,2,2008,1565854.81,3273744.79,-1707889.98,14.265116417696868
54,Asian,High,Platinum,181040.17,44591.61,1,6249.78,1164820.92,1128622.56,626097.18,225394.99,7572.96,580150.86,2,2,3,2,1999,2032279.3000000003,1751221.56,281057.7400000002,9.673110448360715
67,European,High,Jade,182458.47,4511.56,2,2241.62,548946.16,351614.29,188072.76,134676.45,14156.86,1340059.22,2,2,3,1,2013,693031.92,1891247.0,-1198215.08,10.365356017728308
71,Asian,High,Jade,291240.72,23770.26,2,3655.52,1016372.58,426063.72,119297.84,159518.26,46176.4,1468523.42,1,2,3,2,2019,774826.48,2488551.52,-1713725.04,8.544655156737699
48,American,Mid,Gold,49043.13,4382.85,1,4305.68,617980.37,949361.04,718435.38,136844.84,6145.36,139564.53,2,2,4,2,2006,1815169.4700000002,761850.5800000001,1053318.8900000001,15.534297668195324
73,European,High,Platinum,75068.87,29197.56,1,5644.76,498253.45,75457.28,16285.74,43700.08,46587.82,1406014.0,2,1,4,1,2021,211228.48,1909912.21,-1698683.73,25.44213347023873
71,Australian,High,Gold,161766.54,31767.39,2,3231.45,1212157.09,1863378.06,815227.9,543041.61,19827.76,1344797.9,2,3,3,2,2020,3273242.7199999997,2560186.44,713056.2799999998,15.82642764072224
31,American,High,Silver,92005.32,32561.76,1,1654.39,637776.81,321318.75,357020.84,105321.15,20584.97,578961.56,0,2,1,2,2000,836807.4700000001,1218392.7600000002,-381585.29000000015,13.242633795524
63,Asian,Mid,Gold,115626.26,58417.06,2,5614.88,187115.25,807585.35,741208.47,306661.18,24320.83,1336128.26,0,3,2,2,2020,1938192.89,1528858.3900000001,409334.49999999977,13.222414960061842
18,Asian,Low,Jade,71411.33,4823.01,3,180.55,325297.05,245247.34,103548.88,168948.17,335.83,395131.85,1,1,3,2,2021,522903.23000000004,720609.45,-197706.2199999999,10.090968057869807
76,European,High,Platinum,198017.13,15203.16,1,2452.5,1069184.1,407035.7,140481.35,199951.79,33131.11,867514.93,3,2,4,1,2019,795803.1100000001,1939151.5300000003,-1143348.4200000002,9.792847366285939
28,European,Mid,Silver,70495.44,11339.19,1,1975.41,216251.88,342290.02,307283.09,86583.82,16865.32,176758.72,2,1,1,1,2001,764361.4400000001,394986.01,369375.43000000005,5.60300084657958
49,European,High,Silver,96190.36,29582.24,1,661.74,684939.18,605732.45,291648.96,209987.25,23267.91,195103.9,3,1,1,2,2018,1160218.8099999998,880704.8200000001,279513.98999999976,9.15585324766432
76,European,Mid,Silver,234323.74,51258.31,1,5762.91,1467976.67,650421.08,207866.53,518191.15,3080.31,908973.2,3,3,1,2,2004,1430817.3800000001,2382712.78,-951895.3999999997,10.168465132896905
78,Asian,Mid,Silver,91924.73,59506.26,1,5841.58,1344156.26,0.0,0.0,0.0,81434.11,1195526.28,0,4,2,2,1996,140940.37,2545524.12,-2404583.75,27.691396210791158
66,European,Low,Silver,31557.79,24787.62,1,1470.69,316354.32,162241.38,141592.48,105840.38,8162.06,70239.77,0,1,2,1,1996,442623.92,388064.78,54559.139999999956,12.296956789432974
35,European,High,Jade,473184.82,23686.46,2,2894.9,1595011.28,165852.29,98003.63,62270.0,6270.5,412057.18,2,4,3,2,2004,356082.88000000006,2009963.3599999999,-1653880.4799999997,4.247734236275796
46,American,High,Silver,202980.69,24450.97,1,2407.49,734192.11,811487.49,811487.49,205126.0,1680.18,1592898.72,0,4,3,2,2008,1854232.13,2329498.32,-475266.18999999994,11.476452858643844
63,Asian,Mid,Silver,84601.66,6177.33,1,3009.05,429537.23,895244.83,407451.17,178073.38,4299.61,258774.75,1,1,3,2,2020,1491246.32,691321.03,799925.29,8.17148304182211
29,European,Low,Silver,59708.25,56647.5,2,4592.3,404115.08,2345848.66,567296.74,589221.99,46247.69,2494142.89,2,3,3,2,2005,3605262.5800000005,2902850.27,702412.3100000005,48.61723915874272
59,Asian,Mid,Jade,162559.04,31014.0,1,5916.8,739928.32,106405.89,32586.8,30186.02,29937.28,364451.84,1,1,3,2,2015,230129.99,1110296.96,-880166.97,6.830115138475227
37,European,Mid,Silver,216722.12,35115.8,1,7380.73,0.0,1626699.65,489147.45,667856.9,21932.98,1678425.39,0,5,3,2,2021,2840752.78,1685806.1199999999,1154946.66,7.778652774345322
53,Asian,High,Jade,428363.55,46266.3,2,2560.73,825031.4,254964.46,112721.13,127643.26,55129.55,1196463.06,3,4,3,2,1999,596724.7000000001,2024055.19,-1427330.4899999998,4.725087346950972
48,Asian,High,Jade,195942.17,55171.6,2,7708.61,1747294.72,921893.17,417836.47,284659.39,112205.36,195747.47,0,4,4,2,2000,1791765.9900000005,1950750.8,-158984.8099999996,9.95574765758693
50,European,High,Gold,100945.48,33938.46,2,4280.74,1488351.0,958002.59,271132.81,271735.33,27191.1,716923.99,2,2,4,2,2020,1562000.29,2209555.73,-647555.44,21.888604918219222
82,European,High,Platinum,266108.68,8389.02,1,557.04,602721.03,39035.57,41037.39,4864.43,19652.37,424460.04,3,2,1,1,2015,112978.77999999998,1027738.1100000001,-914759.3300000001,3.8620991618913
24,Asian,High,Jade,136517.33,16272.62,1,4758.85,833335.07,65946.87,34407.06,52604.57,53509.64,345459.28,2,4,2,1,2001,222740.76,1183553.2,-960812.44,8.669618721667058
47,European,Mid,Platinum,138181.23,25128.0,2,505.78,171992.93,946880.85,514447.07,231128.4,52983.77,1465894.64,1,2,3,1,2019,1770568.0899999999,1638393.3499999999,132174.74,11.856844449857624
60,Asian,High,Silver,82561.55,18069.64,2,1565.98,90144.59,76544.84,126073.86,20411.96,9492.09,330864.37,0,1,4,2,1996,250592.39,422574.94,-171982.55,5.118301921414993
43,American,Mid,Platinum,235695.74,19555.95,1,7227.13,77362.79,981482.26,654321.51,592273.78,14202.1,871087.37,2,4,1,1,2015,2261835.6,955677.29,1306158.31,4.054707522503377
44,Asian,High,Jade,59762.85,4970.89,2,1420.68,256985.09,126048.49,84032.32,17286.65,8019.07,465859.42,0,1,1,2,2012,240357.42,724265.19,-483907.7699999999,12.118986795308457
80,European,High,Jade,329678.7,43425.69,1,3289.29,757623.3,316130.58,351822.74,172291.16,39091.9,176177.31,3,3,1,1,2009,922762.0700000001,937089.9000000001,-14327.830000000075,2.8424338606042796
40,European,Low,Platinum,73487.4,42877.11,1,3080.59,369800.94,322387.4,150794.11,284272.89,16929.27,93946.8,1,2,2,2,2018,817260.78,466828.33,350432.45,6.3524948494571865
21,American,High,Gold,102452.22,15198.68,1,28.01,214464.31,307762.4,138868.4,234087.09,19838.82,285724.57,2,1,2,1,2018,715755.39,500216.89,215538.5,4.882440712363285
28,European,Low,Platinum,26171.5,9578.4,1,2609.83,676530.61,368643.58,215695.71,213538.75,30805.4,521730.82,1,1,3,2,2002,838261.8400000001,1200871.26,-362609.4199999999,45.88469365531208
50,Asian,High,Gold,202295.22,26062.22,2,4071.5,214711.06,404575.54,296207.09,37062.01,46494.91,1263947.73,2,2,3,1,2003,810401.77,1482730.29,-672328.52,7.329536950996667
43,Asian,High,Jade,98325.12,42326.4,1,1172.81,821532.6,360444.89,188804.47,153789.82,4659.48,1272622.18,3,2,3,1,2020,750025.0599999999,2095327.5899999999,-1345302.5299999998,21.310196112651578
85,European,High,Platinum,66889.57,5156.8,2,324.06,422696.49,173410.99,63443.05,94741.62,23387.19,84366.59,1,1,3,2,2005,360139.64999999997,507387.14,-147247.49000000005,7.585444786085484
46,European,Mid,Jade,258230.37,10956.92,1,466.93,1294321.35,1120446.35,330491.37,437538.33,62722.69,2502530.26,0,3,3,2,1995,1962155.6600000001,3797318.54,-1835162.88,14.705158576042004
74,American,Mid,Gold,160452.71,20490.24,2,7265.87,1207473.72,243863.04,188703.54,108722.27,27445.99,1886543.9,1,5,3,1,2000,589225.08,3101283.49,-2512058.41,19.328333500880106
32,Australian,Mid,Jade,88492.45,32749.86,3,6858.09,649790.67,593455.89,293467.2,448352.67,26095.09,1582188.92,2,3,3,1,2020,1394120.7100000002,2238837.6799999997,-844716.9699999995,25.299759244997734
26,Australian,High,Silver,201968.19,61581.24,1,5404.02,1368188.09,1234416.49,840453.78,496393.01,37952.12,1668971.99,2,3,4,2,2016,2670796.6400000006,3042564.1,-371767.4599999995,15.064570811868938
40,European,High,Silver,186416.57,10340.47,1,2210.54,50845.04,661637.72,393281.16,54134.0,54999.96,1705043.1,1,2,4,1,2016,1174393.3099999998,1758098.6800000002,-583705.3700000003,9.431021502004892
37,Asian,Low,Gold,90677.95,2017.4,2,1445.71,66006.57,369235.45,221541.27,115318.06,3017.44,442531.9,2,1,1,2,2005,711129.62,509984.18000000005,201145.43999999994,5.624125600545669
45,Australian,High,Gold,82847.03,10579.84,3,5702.53,878032.06,1193658.09,716194.85,226244.12,14165.63,1420808.9,1,2,2,1,2004,2160842.53,2304543.49,-143700.96000000043,27.816851008418773
20,Asian,High,Jade,201867.47,11760.0,2,1309.11,1286811.44,465096.93,313845.89,52068.17,37946.98,1169189.59,0,2,3,2,1996,880717.9700000001,2457310.14,-1576592.17,12.172888182528865
37,Asian,High,Gold,27107.94,20852.16,1,567.38,132835.35,173962.47,100715.11,101356.03,24574.68,196701.15,0,1,4,1,2007,421460.44999999995,330103.88,91356.56999999995,12.177387141922257
57,Asian,High,Jade,117682.74,34088.67,1,395.48,594429.73,2311699.75,1208049.55,297538.13,61770.46,1528636.54,2,2,1,1,2020,3913146.5599999996,2123461.75,1789684.8099999996,18.04395232469944
44,European,High,Jade,145534.93,18154.2,2,3260.57,1153058.2,2031820.31,654884.23,1218924.27,683.47,570962.89,2,3,1,1,2018,3924466.4800000004,1727281.6600000001,2197184.8200000003,11.868502358849524
72,European,Mid,Platinum,17723.13,3331.5,1,81.32,375034.47,144824.7,67675.09,79179.86,16634.22,302632.65,0,1,1,1,2018,311645.37,677748.44,-366103.06999999995,38.240899886193915
28,American,High,Platinum,327602.7,51064.26,1,2176.04,501402.1,644225.2,583284.98,258560.66,48517.12,460534.03,1,3,2,2,2003,1585652.22,964112.1699999999,621540.05,2.942931086953801
73,European,High,Gold,194912.82,14289.28,2,3876.36,322239.51,397157.76,268255.68,63301.37,8151.82,1705763.21,2,2,2,1,1996,751155.9099999999,2031879.08,-1280723.1700000002,10.42455329516037
43,Asian,Low,Gold,59131.74,9959.66,1,1710.54,820453.73,1166648.17,228066.56,389467.51,31424.52,1377643.79,3,3,3,1,1995,1825566.42,2199808.06,-374241.64000000013,37.201815133463015
22,Asian,High,Silver,69983.46,45892.74,1,5292.97,318410.85,891613.21,517135.66,426904.4,50264.61,751781.69,3,2,3,2,2006,1931810.62,1075485.5099999998,856325.1100000003,15.367709884592726
84,American,High,Gold,210247.91,13843.76,1,970.85,1466637.93,2350808.69,407473.51,1426470.71,75744.5,1547360.55,2,2,3,1,2008,4274341.17,3014969.33,1259371.8399999999,14.340068017798608
70,American,Mid,Jade,242469.24,26585.24,1,5095.5,783262.95,41509.99,40997.52,7892.02,20251.93,533964.7,0,3,3,2,2021,137236.69999999998,1322323.15,-1185086.45,5.453570729219096
55,Australian,High,Silver,153473.23,14605.89,1,5800.37,123383.77,459218.95,103694.6,271976.13,772.16,368074.51,0,2,3,2,2008,850267.7300000001,497258.65,353009.0800000001,3.2400350862492435
56,Asian,High,Gold,146380.61,15563.67,1,5958.39,338237.2,665273.41,175308.53,142584.27,65572.5,1196080.23,2,2,3,1,2000,1064302.38,1540275.82,-475973.4400000002,10.52240334290177
62,Asian,High,Jade,189942.07,14572.9,3,690.75,363101.74,97468.62,98671.94,13862.2,36494.23,1207066.04,3,2,3,2,2019,261069.89,1570858.53,-1309788.6400000001,8.270198013531179
47,American,Mid,Jade,50793.9,26256.45,2,1853.87,247586.63,257863.78,157583.42,130221.21,26028.49,126120.75,0,1,4,1,2011,597953.35,375561.25,222392.09999999998,7.393825833417004
57,Asian,Mid,Jade,388875.54,6121.57,1,1164.89,504681.83,152384.27,173299.76,67766.18,42886.55,175106.32,1,4,4,1,2012,442458.33,680953.04,-238494.71000000002,1.7510822100047745
62,American,High,Gold,231903.49,7407.72,1,317.83,670385.28,537536.44,190104.35,321145.24,13484.96,125841.84,1,2,1,1,2002,1069678.7099999997,796544.95,273133.7599999998,3.434812257461067
30,American,Mid,Silver,70262.85,18440.98,2,4643.48,172240.45,474980.57,209110.94,94996.11,3304.48,166402.69,2,1,2,2,2005,800833.08,343286.62,457546.45999999996,4.885748585490056
68,Asian,High,Gold,173669.62,26695.2,1,6116.89,936230.84,524300.8,207372.7,163667.93,874.59,230184.26,1,2,3,1,2014,922911.2199999999,1172531.99,-249620.77000000014,6.751508928274272
34,European,Mid,Platinum,150110.25,30599.0,3,2879.07,948876.15,365701.59,208514.07,75225.46,10319.28,385864.35,0,2,4,1,2005,690359.4,1337619.5699999998,-647260.1699999998,8.910914278005665
33,Asian,High,Silver,49991.15,1875.06,1,107.72,243590.88,829387.33,581280.01,150565.7,15509.64,504766.68,2,1,1,1,2003,1578617.7399999998,748465.28,830152.4599999997,14.971955636147598
78,European,Mid,Jade,305897.02,45816.36,1,4924.51,715867.89,97927.53,88010.82,34510.16,32039.68,1358921.53,3,2,1,1,2014,298304.55,2079713.9300000002,-1781409.3800000001,6.798738771629747
54,European,High,Jade,154578.81,36643.6,1,1538.87,420382.39,634688.83,425121.76,187532.59,34511.84,741431.88,3,2,1,1,2002,1318498.62,1163353.1400000001,155145.47999999998,7.525954818774967
49,Asian,Low,Jade,207038.15,15002.9,3,4638.25,626080.13,1095366.7,238123.2,333372.47,63777.25,1391370.72,1,2,2,1,2019,1745642.5199999998,2022089.1,-276446.5800000003,9.766746370173808
82,European,High,Silver,184429.71,38928.3,1,1373.99,1098051.01,0.0,0.0,0.0,65346.66,613427.08,0,2,2,1,2018,104274.96,1712852.08,-1608577.12,9.287289341831098
83,European,Mid,Silver,257268.63,32310.64,1,1211.14,617259.38,128258.48,123983.2,64642.27,25494.5,714631.8,0,3,3,2,2012,374689.09,1333102.32,-958413.23,5.181752318578445
84,American,Mid,Jade,125954.56,40762.26,1,371.71,270980.23,921518.12,444004.18,421301.33,45859.24,1382971.92,0,2,3,2,2002,1873445.1300000001,1654323.8599999999,219121.27000000025,13.13429112848316
46,American,High,Silver,295097.53,68695.54,1,2619.59,698016.6,1133099.27,365896.64,618955.47,78642.39,305529.17,2,4,3,2,2001,2265289.31,1006165.3599999999,1259123.9500000002,3.4096027845438077
49,European,Mid,Jade,136269.28,12691.6,1,1487.82,393333.96,106097.87,144512.61,35341.57,8706.96,48762.69,1,1,3,2,2008,307350.61,443584.47000000003,-136233.86000000004,3.255205208393264
44,American,High,Silver,99093.14,19900.34,3,3501.42,825497.62,73608.21,41220.6,19108.69,18445.77,167447.74,0,2,3,2,2002,172283.61,996446.78,-824163.17,10.055658545081931
80,European,High,Silver,484083.74,31756.02,2,7886.24,1153726.52,1312296.5,320324.34,499085.99,59339.02,754215.38,2,5,3,2,2017,2222801.87,1915828.1400000001,306973.73,3.9576378665393723
25,Australian,Mid,Silver,84045.31,19776.5,3,1544.03,120289.31,34566.96,22057.01,5757.87,18889.76,204607.2,1,1,3,1,2002,101048.1,326440.54000000004,-225392.44000000003,3.884101801754316
32,European,High,Jade,105267.75,32879.5,2,3408.6,96089.65,473972.24,374188.61,149675.45,8513.43,1153379.33,3,2,4,2,2012,1039229.2300000001,1252877.58,-213648.34999999998,11.901817793198772
18,American,Mid,Jade,102526.04,21319.59,1,4925.55,219431.07,1531869.09,746040.14,283495.25,40830.11,216820.87,1,1,4,2,2009,2623554.1799999997,441177.49,2182376.6899999995,4.3030774425697125
67,European,High,Jade,124351.92,24996.8,2,4314.62,473165.56,1159087.33,240565.3,556799.31,17240.69,289790.86,1,1,1,1,2001,1998689.4300000002,767271.04,1231418.3900000001,6.1701583698908715
82,Asian,Mid,Silver,109519.65,7229.99,2,1381.02,229627.09,44965.24,11339.06,18599.97,29041.18,89790.87,0,1,2,2,2015,111175.43999999999,320798.98,-209623.53999999998,2.9291454090658617
32,Australian,Mid,Silver,62681.88,19043.75,1,2323.06,453629.39,235700.92,129743.63,102929.94,16167.7,354073.42,2,1,3,1,2005,503585.94000000006,810025.87,-306439.92999999993,12.922807516302958
71,Asian,High,Gold,51317.5,11454.25,1,2324.6,419785.89,178265.14,66471.75,75294.36,24748.44,441110.85,1,1,4,1,2000,356233.94,863221.34,-506987.39999999997,16.82118848346081
39,European,Low,Silver,23368.69,6392.88,2,1024.1,244356.23,58857.68,67835.97,21707.51,5802.2,168890.03,0,1,1,1,2018,160596.24000000002,414270.36,-253674.11999999997,17.727581648778774
69,European,High,Jade,137063.36,17385.55,1,2992.54,406311.36,147842.92,90817.8,73435.69,28887.95,477317.3,3,2,1,2,2020,358369.91000000003,886621.2,-528251.2899999999,6.46869593741172
36,European,High,Silver,42638.7,15049.8,1,1793.83,161088.83,80407.61,32758.66,37910.7,8061.53,195265.57,2,1,1,1,2011,174188.3,358148.23,-183959.93,8.399604819096266
44,European,Mid,Jade,144947.04,21712.4,2,1105.52,361603.01,129506.13,62262.56,155033.78,391.87,441428.21,3,1,2,2,2013,368906.74,804136.74,-435230.0,5.5477969056836205
44,Asian,Low,Jade,89651.54,34484.4,1,1441.04,75730.25,227310.08,237642.36,73669.13,8620.43,663583.24,0,2,2,2,2007,581726.4,740754.53,-159028.13,8.262596827673011
18,Asian,Mid,Jade,125518.16,14427.0,2,1341.36,309039.84,246783.28,120820.98,170306.17,9985.25,842949.5,3,2,3,2,2017,562322.68,1153330.7,-591008.0199999999,9.188556460674693
38,European,High,Silver,212433.24,12492.15,1,5253.34,1302281.95,1339990.63,304543.32,575586.88,68816.64,1344634.39,1,2,3,1,2006,2301429.62,2652169.6799999997,-350740.0599999996,12.484720752740955
26,European,Low,Silver,432392.22,57262.6,2,583.85,1484948.05,1553625.54,797807.71,589817.84,27489.31,2376662.16,2,4,3,2,2012,3026003.0,3862194.0600000005,-836191.0600000005,8.932154375950615
83,European,High,Gold,309505.88,14034.0,1,8138.58,138266.1,1685740.7,309878.81,948229.14,20744.76,1508293.38,1,3,3,1,2009,2978627.4099999997,1654698.0599999998,1323929.3499999999,5.346257266582463
34,European,Low,Silver,245839.9,5995.99,2,3888.98,45681.04,133610.01,96496.12,178097.2,23080.23,453420.75,3,3,3,1,2013,437279.55,502990.77,-65711.22000000003,2.046009496424299
19,American,Low,Silver,123010.61,13183.65,1,1710.86,406604.23,451472.92,256626.71,120234.37,404.84,641971.19,0,2,3,1,2015,841922.49,1050286.2799999998,-208363.7899999998,8.538176341048953
79,European,Mid,Jade,332853.44,11742.18,2,2923.25,195457.28,128811.01,62105.31,124256.62,15412.03,406706.78,3,5,3,1,2004,342327.15,605087.31,-262760.16000000003,1.817879094174301
70,Australian,Low,Jade,191832.93,61192.8,1,3854.45,1131108.23,991058.22,444267.48,233753.04,29654.82,209853.4,0,4,4,1,2007,1759926.36,1344816.0799999998,415110.28000000026,7.01035051698371
75,Asian,Low,Jade,114845.02,37392.43,1,3797.9,328327.14,215160.77,92499.02,86868.65,55163.63,1542433.19,0,2,1,1,2004,487084.49999999994,1874558.23,-1387473.73,16.322503405023568
56,European,High,Silver,204170.6,18233.8,1,4209.73,902243.04,244609.52,86456.81,139343.08,38402.73,773583.49,1,2,2,2,2014,527045.94,1680036.26,-1152990.32,8.228590502256447
17,European,Mid,Jade,149316.84,26054.4,1,1924.06,232953.77,184556.23,57942.07,86162.01,720.34,973020.79,3,2,3,2,2019,355435.05000000005,1207898.62,-852463.5700000001,8.089500286772745
59,European,High,Gold,114353.96,8347.6,2,4164.17,47289.2,974941.36,441973.42,168469.87,50440.46,735249.72,3,1,4,2,1999,1644172.71,786703.09,857469.62,6.879543917849456
83,African,Mid,Jade,127319.91,21277.3,1,2700.11,498813.28,1415618.53,713052.3,167777.01,35231.19,716817.82,3,2,1,2,2016,2352956.3299999996,1218331.21,1134625.1199999996,9.569054910579185
56,Asian,High,Gold,268515.98,56615.26,1,1876.91,1115686.02,117731.25,81265.82,21087.44,78395.67,1528818.09,1,5,1,1,2020,355095.44,2646381.02,-2291285.58,9.855581109176445
30,Asian,High,Silver,117611.36,59393.1,1,2597.41,672728.62,897649.48,407181.21,424949.11,38196.19,1310004.48,2,3,1,2,2019,1827369.0899999999,1985330.51,-157961.42000000016,16.880431533144417
67,American,Low,Jade,338354.24,41769.3,1,3435.55,702584.28,1354185.49,837320.8,237654.39,6855.6,2041772.58,3,3,2,1,2021,2477785.58,2747792.41,-270006.8300000001,8.12105209616998
